uri;artist;track
spotify:track:3dfCKQy9JY2ixI58zTeUn9;Lo & Leduc;079
spotify:track:2VxeLyX666F8uXCJ0dZF8B;Lady Gaga;Shallow
spotify:track:63SevszngYpZOwf63o61K4;Dennis Lloyd;Nevermind
spotify:track:4u7EnebtmKWzUH433cf5Qv;Queen;Bohemian Rhapsody - Remastered 2011
spotify:track:0tgVpDi06FyKpA1z0VMD4v;Ed Sheeran;Perfect
spotify:track:37Tmv4NnfQeb0ZgUC4fOJj;Dire Straits;Sultans Of Swing
spotify:track:7ef4DlsgrMEH11cDZd32M6;Calvin Harris;One Kiss (with Dua Lipa)
spotify:track:40riOy7x9W7GXjyGp4pjAv;Eagles;Hotel California - 2013 Remaster
spotify:track:2H4gf1wLxvYreMj1jcaN0k;Dean Lewis;Be Alright
spotify:track:7qiZfU4dY1lWllzX7mPBI3;Ed Sheeran;Shape of You
spotify:track:0E9ZjEAyAwOXZ7wJC0PD33;Dynoro;In My Mind
spotify:track:66BjcDhhwWCcQIBxHMpKXh;David Guetta;Flames
spotify:track:3NuK5xMlSlB6K2Qp16zf3h;Clean Bandit;Solo (feat. Demi Lovato)
spotify:track:7fa9MBXhVfQ8P8Df9OEbD8;Maroon 5;Girls Like You (feat. Cardi B)
spotify:track:7e89621JPkKaeDSTQ3avtg;Lynyrd Skynyrd;Sweet Home Alabama
spotify:track:5N5k9nd479b1xpDZ4usjrg;Calvin Harris;Promises (with Sam Smith)
spotify:track:2374M0fQpWi3dLnB54qaLX;Toto;Africa
spotify:track:5C0LFQARavkPpn7JgA4sLk;The Police;Every Breath You Take - Remastered 2003
spotify:track:25sgk305KZfyuqVBQIahim;Ava Max;Sweet but Psycho
spotify:track:20ZP3Om9DvDazXrNUC7WM2;Rudimental;These Days (feat. Jess Glynne, Macklemore & Dan Caplen)
spotify:track:7K7MUBCnzgBAvMVW2RTWNs;Loud Luxury;Body (feat. brando)
spotify:track:1rfofaqEpACxVEHIZBJe6W;Camila Cabello;Havana
spotify:track:4gMgiXfqyzZLMhsksGmbQV;Pink Floyd;Another Brick in the Wall, Pt. 2
spotify:track:58q2HKrzhC3ozto2nDdN4z;Cardi B;I Like It
spotify:track:4ofwffwvvnbSkrMSCKQDaC;George Ezra;Shotgun
spotify:track:1BFmBgVOnLy3Ekrxz1lBOK;Alvaro Soler;La Cintura
spotify:track:1rqqCSm0Qe4I9rUvWncaom;Panic! At The Disco;High Hopes
spotify:track:5T8EDUDqKcs6OSOwEsfqG7;Queen;Don't Stop Me Now - Remastered
spotify:track:7dt6x5M1jzdTEt8oCbisTK;Post Malone;Better Now
spotify:track:1bhUWB0zJMIKr9yVPrkEuI;Ed Sheeran;Perfect Duet (Ed Sheeran & Beyoncé)
spotify:track:3KLygy1YWhmrQx0GRs7IOx;Jonas Blue;Rise
spotify:track:54eZmuggBFJbV7k248bTTt;America;A Horse with No Name
spotify:track:2dpaYNEQHiRxtZbfNsse99;Marshmello;Happier
spotify:track:2BgEsaKNfHUdlh97KmvFyo;Anne-Marie;2002
spotify:track:7AqL5yju04IAQNROz2ercX;Delcatty;Calm Piano
spotify:track:4w8niZpiMy6qz1mntFA5uM;DJ Snake;Taki Taki (with Selena Gomez, Ozuna & Cardi B)
spotify:track:4iVVU8DyQvOVsKafv3KWIF;Tom Walker;Leave a Light On
spotify:track:3S0OXQeoh0w6AY8WQVckRW;Jason Mraz;I'm Yours
spotify:track:5CQ30WqJwcep0pYcV4AMNc;Led Zeppelin;Stairway to Heaven - Remaster
spotify:track:7BY005dacJkbO6EPiOh2wb;The Animals;House Of The Rising Sun
spotify:track:2fuCquhmrzHpu5xcA1ci9x;Queen;Under Pressure - Remastered
spotify:track:2LawezPeJhN4AWuSB0GtAU;Creedence Clearwater Revival;Have You Ever Seen The Rain
spotify:track:7JFTLRzKKRsaFfR5kZb7aw;Flava & Stevenson;Summer Love
spotify:track:6xTU6B6nFwKKTSZ9ySXS80;Kygo;Remind Me to Forget
spotify:track:6habFhsOp2NvshLv26DqMb;Luis Fonsi;Despacito
spotify:track:2zYzyRzz6pRmhPzyfMEC8s;AC/DC;Highway to Hell
spotify:track:2RttW7RAu5nOAfq6YFvApB;Ed Sheeran;Happier
spotify:track:39N9RPD9MRb5WmoLzNzPeA;Nicky Jam;X
spotify:track:5vdp5UmvTsnMEMESIF2Ym7;Queen;Another One Bites The Dust - Remastered 2011
spotify:track:0bYg9bo50gSsH3LtXe2SQn;Mariah Carey;All I Want for Christmas Is You
spotify:track:3NfxSdJnVdon1axzloJgba;Aretha Franklin;I Say a Little Prayer
spotify:track:0qRJo7wDF6xqW2AvDvW8wl;Ta'Shan ;Foodie
spotify:track:1Slwb6dOYkBlWal1PGtnNg;Ed Sheeran;Thinking out Loud
spotify:track:2FRnf9qhLbvw8fu4IBXx78;Wham!;Last Christmas
spotify:track:2jyjhRf6DVbMPU5zxagN2h;Passenger;Let Her Go
spotify:track:2QZ7WLBE8h2y1Y5Fb8RYbH;Shawn Mendes;In My Blood
spotify:track:2FY7b99s15jUprqC0M5NCT;Imagine Dragons;Natural
spotify:track:0mlAOSILGRys2IbvyOT5VJ;Luis Fonsi;Échame La Culpa
spotify:track:3ee8Jmje8o58CHK66QrVC2;XXXTENTACION;SAD!
spotify:track:0kHyKhJMukHEPfeh8s7rdM;Kygo;Born To Be Yours
spotify:track:2qT1uLXPVPzGgFOx4jtEuo;Ariana Grande;no tears left to cry
spotify:track:4NtUY5IGzHCaqfZemmAu56;ABBA;Dancing Queen
spotify:track:6Xz7FeyE8HTP90HecgHV57;Yusuf / Cat Stevens;Wild World
spotify:track:08bNPGLD8AhKpnnERrAc6G;Marshmello;FRIENDS
spotify:track:3U4isOIWM3VvDubwSI3y7a;John Legend;All of Me
spotify:track:7FGq80cy8juXBCD2nrqdWU;benny blanco;Eastside (with Halsey & Khalid)
spotify:track:2rbDhOo9Fh61Bbu23T2qCk;Lady Gaga;Always Remember Us This Way
spotify:track:3mRM4NM8iO7UBqrSigCQFH;Bee Gees;"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack"
spotify:track:5MMnwYs0hIxkENRsbkWJ2G;Deep Purple;Smoke On The Water - Remastered 2012
spotify:track:0iOZM63lendWRTTeKhZBSC;Simon & Garfunkel;Mrs. Robinson
spotify:track:1mqlc0vEP9mU1kZgTi6LIQ;Earth, Wind & Fire;September
spotify:track:2iUXsYOEPhVqEBwsqP70rE;5 Seconds of Summer;Youngblood
spotify:track:0hPzFNzCoLCwPrR7L5w3sg;Luca Hänni;Signs
spotify:track:6XUHsYE38CEbYunT983O9G;Supertramp;Give A Little Bit
spotify:track:6Xy72HZ9nf2jx48dQuF1mA;Rita Ora;Anywhere
spotify:track:1mXVgsBdtIVeCLJnSnmtdV;Sam Smith;Too Good At Goodbyes
